Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified,Controls
IDBD-D100801,22085282,6070296,2748570.744987544,0,0.0,0.0,0,0.0,0.0,0.09349212747204225,0.6041625368424094,18.065556056744036,0.0019107747865750593,0.014068192563717321,7.453773965847482,73.76703634574373
IDBD-D100810,4801015,4282,8918.947347592124,0,0.0,0.0,0,0.0,0.0,39.66017602527799,20.968003640896768,0.10574847193770484,0.2757750184075659,0.21597516358520022,38.705357096364,0.06896458353077423
IDBD-D100803,5422893,8924,16456.160945827254,0,0.0,0.0,0,0.0,0.0,1.8632305671529938,35.973049809391405,0.17568113551198594,0.10105307259427763,0.22432675695426776,61.534996172707075,0.1276624856879898
IDBD-D100804,5214332,711,1363.549539998604,0,0.0,0.0,0,0.0,0.0,1.3055363563348095,40.47962423566432,0.13508921181083214,0.07926231010990478,0.12680435384628366,57.863135680658615,0.010547851575235332
IDBD-D100805,5837628,869,1488.6183223734024,0,0.0,0.0,0,0.0,0.0,2.1813140542699876,36.99365564232596,0.1541893385464096,0.08630217615785042,0.11816443254006594,60.455068394217655,0.011305961942076474
IDBD-D100806,6737010,98,145.46512473634445,0,0.0,0.0,0,0.0,0.0,8.461468811831955,33.68581907997762,0.1540594417998489,0.12377894644656903,0.1022560453376201,57.47148957772068,0.0011280968857104265
IDBD-D100807,6131945,117,190.8040597233015,0,0.0,0.0,0,0.0,0.0,1.0400778219635043,36.400880960282585,0.15063735894565264,0.08052909802680878,0.08783509962988904,62.23845778134018,0.0015818798113812176
IDBD-D100808,6078417,9,14.80648662307966,0,0.0,0.0,0,0.0,0.0,2.009404751269944,39.36144887723235,0.1393948457303933,0.08990827710570039,0.14610711966618942,58.253604515781,0.00013161321442737477
IDBD-D100809,7981977,4,5.011289809529644,0,0.0,0.0,0,0.0,0.0,2.261093962059775,35.757193988406634,0.14298462649040458,0.1728769702042489,0.19928646750047013,61.46646375954228,0.00010022579619059288
controlBlk,4976509,594694,1195002.3600881663,553,1111.2207372678317,0.0,160,321.5105207284866,0.115983,14.425976121011738,45.98299731799943,2.476073086575348,0.2507983005757651,0.9626426878761799,26.851453498828196,9.05005898713335
