Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D100970,3487466,683,1958.4420321230373,21294,61058.65978334986,2070661.047304834,5706.148819802114,246843.98356858533,197.85139123936978,48.74599494303314,7676542.222920597
IDBD-D100971,3879592,707,1822.356577701985,23181,59751.12846917923,2075589.3918741972,5263.44007307985,240605.19765996013,213.9400225590732,28.353496965660305,7678299.676873238
IDBD-D100972,4178284,805,1926.628252172423,35726,85504.00116411426,2008812.7087579495,6117.34386652511,274734.7954327662,244.11935617588463,19.14661617065762,7710071.885970413
IDBD-D100973,2849723,484,1698.4106876352544,22530,79060.3156868229,2084146.424055952,5733.8906272644745,262888.7088324023,245.63790936873514,17.545564954909654,7646967.793010058
IDBD-D100974,2732588,2433,8903.647384823471,60304,220684.567157581,331063.4460811509,13895.25241273108,642079.9622921568,21.957206867628784,76.85022403670074,9012862.531783057
IDBD-D100975,2965271,2617,8825.500266248851,65652,221403.03533808546,361228.3666484446,14207.807650632943,638052.9806550565,40.468476574316476,84.30932619649266,8986386.067243095
IDBD-D100976,2668346,1924,7210.459213310418,64653,242296.16399072684,729163.3094059016,10916.875097907094,616490.515098117,67.45751862764425,14.990559695032054,8643346.852319751
IDBD-D100977,2891528,2146,7421.681546919138,70039,242221.4137300417,764619.9518040288,11319.27479173641,617317.21083109,69.16758198433493,13.833516396866985,8606660.561474763
IDBD-D100978,3668619,985,2684.9340310345665,19943,54361.055209058235,2090792.202733508,4936.462467211776,226679.3035744513,188.08167323998487,70.87135513390734,7677333.078196455
IDBD-D100979,3250627,992,3051.718945298861,18812,57871.912095727996,2087701.849520108,5343.584483854961,233951.78837805754,169.19812700749733,43.06861414736296,7672790.510876825
IDBD-D100980,2851005,732,2567.5156655284713,16576,58140.90119098353,2199073.6599900736,4180.981794139259,219620.80038442585,263.0651296648024,21.045210373184194,7576840.447491324
IDBD-D100981,3156875,858,2717.877647990497,19103,60512.37378736884,2184055.4345674124,4352.405464264502,224883.78538903187,190.06137398534943,28.509206097802416,7586489.803999208
IDBD-D100982,2861297,1879,6566.951980168434,30048,105015.31298568446,1604171.1154067544,9139.212042650588,371408.4906250557,139.796742526204,27.959348505240804,8015113.425834508
IDBD-D100983,3130350,1628,5200.696407749932,25418,81198.58801731435,1833277.4290414809,7091.8587378408165,304311.01953455684,182.08826489050745,31.945309629913588,7855105.659111601
IDBD-D100984,3337139,2104,6304.801807776062,49813,149268.58006214304,1526789.8640122572,10191.36451912851,425280.4573018984,158.81867671679242,17.979472835863294,8037561.516017163
IDBD-D100985,3445758,2282,6622.635716147216,51448,149308.22187745047,1569309.2782487918,9942.65993142873,420189.113687032,177.0292632274234,14.510595346510115,8000367.408274174
IDBD-D100986,3998919,1142,2855.77177232147,31159,77918.55749016172,1908023.1432544645,6779.3321145039445,287602.72463633295,165.0446033040429,52.51419196037729,7797377.241199434
IDBD-D100987,2904766,854,2939.995855087811,21824,75131.69735531193,1893260.937369826,6757.859324985214,281523.537524193,123.93425150253067,44.75403526480274,7818288.977494229
IDBD-D100988,2930342,690,2354.673959558304,24314,82973.25022130522,1991661.7241263988,5825.258621689892,272715.60793927807,201.3416863970144,10.2377128676448,7729585.829913368
IDBD-D100989,2602891,595,2285.9197715155956,20625,79238.8156092591,2013434.2928689676,5401.686048320887,265374.1551221315,188.25221647775493,26.89317378253642,7715574.720570319
IDBD-D100990,3484052,2199,6311.616474151362,17567,50421.17626258161,2152777.8575061453,4414.40024431323,235714.04789595562,232.48791923886324,25.83199102654036,7606835.374443321
IDBD-D100991,3827980,2111,5514.657861326339,17567,45891.04436282321,2189786.780495196,4137.952653880115,220440.02319761337,219.4368831603091,23.511094624318833,7585392.295675526
IDBD-D100992,3218902,2675,8310.287172458186,29350,91180.16019127019,2019315.9033732621,6210.19217111922,298440.2755970825,208.14551048773774,21.746545871853197,7675803.736802177
IDBD-D100993,3330353,3067,9209.233976098029,32276,96914.65138980762,1961692.9496662966,6870.142594493736,309934.11208961933,195.17450552539026,36.03221640468743,7721271.58892766
IDBD-D100994,3674614,1190,3238.4353839614173,39771,108231.77618111725,1571683.447567554,9171.031297436955,361265.15601366566,171.44657915089857,54.427485444729705,8057654.491056748
IDBD-D100995,3036874,954,3141.38815110538,29654,97646.46146004082,1670592.8530455988,8531.799475381593,337676.17622594815,141.59296697854438,62.564334246333566,7982995.013951846
IDBD-D100996,3166649,695,2194.7490864949036,29873,94336.31577102483,1910685.3964553697,6742.142877218157,296382.70613509737,202.10639069881125,12.631649418675703,7785975.016492197
IDBD-D100997,2919620,734,2514.025797877806,29134,99786.95857680109,1881107.8154006344,6596.748891979093,309269.69948143937,202.08109274494626,23.97572286804447,7802799.679410335
IDBD-D100998,3628621,2756,7595.171829739176,8060,22212.294973765514,2459157.3493070784,2055.8774256115476,170172.0846569537,212.20182543175494,27.55867862750064,7368374.928106297
IDBD-D100999,3718962,2921,7854.342152460821,9066,24377.769926124547,2446225.586601853,2148.448948927147,171924.31651627523,268.8922339082787,34.95599040807623,7379397.799708628
