Accession,Pool,Pool replicate,sample,centrifugation
IDBD-D100970,3,3A,No DNAse,None
IDBD-D100971,3,3B,No DNAse,None
IDBD-D100972,4,4A,No DNAse,None
IDBD-D100973,4,4B,No DNAse,None
IDBD-D100974,3,3A,DNAse,None
IDBD-D100975,3,3B,DNAse,None
IDBD-D100976,4,4A,DNAse,None
IDBD-D100977,4,4B,DNAse,None
IDBD-D100978,3,3A,pellet,200g
IDBD-D100979,3,3B,pellet,200g
IDBD-D100980,4,4A,pellet,200g
IDBD-D100981,4,4B,pellet,200g
IDBD-D100982,3,3A,supernatant,200g
IDBD-D100983,3,3B,supernatant,200g
IDBD-D100984,4,4A,supernatant,200g
IDBD-D100985,4,4B,supernatant,200g
IDBD-D100986,3,3A,pellet,400g
IDBD-D100987,3,3B,pellet,400g
IDBD-D100988,4,4A,pellet,400g
IDBD-D100989,4,4B,pellet,400g
IDBD-D100990,3,3A,supernatant,400g
IDBD-D100991,3,3B,supernatant,400g
IDBD-D100992,4,4A,supernatant,400g
IDBD-D100993,4,4B,supernatant,400g
IDBD-D100994,3,3A,pellet,1000g
IDBD-D100995,3,3B,pellet,1000g
IDBD-D100996,4,4A,pellet,1000g
IDBD-D100997,4,4B,pellet,1000g
IDBD-D100998,3,3A,supernatant,1000g
IDBD-D100999,3,3B,supernatant,1000g
IDBD-D101000,4,4A,supernatant,1000g
IDBD-D101001,4,4B,supernatant,1000g
IDBD-D101002,3,3A,pellet,2000g
IDBD-D101003,3,3B,pellet,2000g
IDBD-D101004,4,4A,pellet,2000g
IDBD-D101005,4,4B,pellet,2000g
IDBD-D101006,3,3A,supernatant,2000g
IDBD-D101007,3,3B,supernatant,2000g
IDBD-D101008,4,4A,supernatant,2000g
IDBD-D101009,4,4B,supernatant,2000g
