Accession,Pool,Pool replicate,Deact temp,centrifugation
IDBD-D101079,3,3A,95 deg,None
IDBD-D101080,3,3B,95 deg,None
IDBD-D101081,2,2A,95 deg,None
IDBD-D101082,2,2B,95 deg,None
IDBD-D101083,3,3A,65 deg (EDTA),None
IDBD-D101084,3,3B,65 deg (EDTA),None
IDBD-D101085,2,2A,65 deg (EDTA),None
IDBD-D101086,2,2B,65 deg (EDTA),None
IDBD-D101087,3,3A,95 deg,200g
IDBD-D101088,3,3B,95 deg,200g
IDBD-D101089,2,2A,95 deg,200g
IDBD-D101090,2,2B,95 deg,200g
IDBD-D101091,3,3A,65 deg (EDTA),200g
IDBD-D101092,3,3B,65 deg (EDTA),200g
IDBD-D101093,2,2A,65 deg (EDTA),200g
IDBD-D101094,2,2B,65 deg (EDTA),200g
IDBD-D101095,3,3A,95 deg,100g
IDBD-D101096,3,3B,95 deg,100g
IDBD-D101097,2,2A,95 deg,100g
IDBD-D101098,2,2B,95 deg,100g
IDBD-D101099,3,3A,65 deg (EDTA),100g
IDBD-D101100,3,3B,65 deg (EDTA),100g
IDBD-D101101,2,2A,65 deg (EDTA),100g
IDBD-D101102,2,2B,65 deg (EDTA),100g
