,Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,calbicans_reads,calbicans_normalized_reads,calbicans_coverage,saureus_reads,saureus_normalized_reads,saureus_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified,Pool group,Pool,Centrifugation,DNAse,Organism spike,Group,Beads
0,IDBD-D101123,5968898,6981,11695.626227822959,105033,175967.15507619665,0.9912559999999999,858,1437.4512682240506,0.0,25804,43230.76051894337,0.0,1986,3327.2473411339915,0.982059,645680.3249108965,8565969.798780277,11586.728404472651,3873.411809013992,44046.65651850644,728843.0795768329,3/4,3,4000 RCF|20 m,40 ul|30 m,E.coli,7,No beads
1,IDBD-D101124,6416497,7812,12174.867377012722,105887,165023.0647657125,0.997309,168,261.82510488199404,0.0,24009,37417.61275661783,0.0,1843,2872.2837398661604,0.99172,605874.2020763042,8611131.587843023,12064.215100544736,3040.599878718871,38220.231381702506,729669.1637197057,3/4,4,4000 RCF|20 m,40 ul|30 m,E.coli,7,No beads
2,IDBD-D101125,6125254,6135,10015.911176907928,54284,88623.2636230269,0.9807170000000001,61537,100464.40523119533,1.0,26081,42579.458745710785,0.0,850,1387.6975550728182,0.972675,1091393.1079429523,8442402.55179622,10275.492248974491,5823.4319752291085,84037.33134985098,366068.0846867738,1/2,1,4000 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,7,No beads
3,IDBD-D101126,5279547,5487,10392.93712130984,52666,99754.77062710117,0.9248879999999999,61285,116080.0348969334,1.0,23108,43768.9066883958,0.0,891,1687.6447922520624,0.960254,1153273.1880216238,8385577.3989700265,10606.970635927666,6277.053694190051,84884.17661591043,359381.2120623228,1/2,2,4000 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,7,No beads
4,IDBD-D101127,5329697,5563,10437.741582682844,52325,98176.31283729637,0.935874,60810,114096.5424488484,1.0,22435,42094.3254372622,0.0,937,1758.073676608633,0.954734,1348568.2206699557,8187287.194750471,10707.925797657916,7722.765478037494,84387.53647721438,361326.3568266639,1/2,1,1500 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,8,No beads
5,IDBD-D101128,5379218,5533,10285.881702507688,53318,99118.49640598317,0.933632,62477,116145.13485045596,1.0,21499,39966.77583990833,0.0,860,1598.7453938472095,0.9403809999999999,1302793.4543645564,8242709.256252489,10674.414013338,6015.744295918105,80188.23553906906,357618.89553462976,1/2,2,1500 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,8,No beads
6,IDBD-D101129,5688209,5815,10222.901444022187,53361,93809.84418821461,0.906726,61913,108844.45350021422,1.0,24433,42953.76629093622,0.0,955,1678.9115871094045,0.8967709999999999,1017327.2465902712,8524743.025440872,10539.345512796734,4342.315832628513,84061.60884735423,358986.4577760768,1/2,1,8000 RCF|10 m,40 ul|30 m,E.coli|K.pneumo,9,No beads
7,IDBD-D101130,6828299,7177,10510.670373397534,53172,77870.05226338214,0.9365469999999999,61673,90319.71212742734,1.0,28279,41414.41375077453,0.0,897,1313.650734978067,0.982611,836042.7684845084,8708830.705861006,10884.1162345117,3612.905644582933,81787.5725711484,358841.9312042428,1/2,2,8000 RCF|10 m,40 ul|30 m,E.coli|K.pneumo,9,No beads
8,IDBD-D101131,5765233,6552,11364.675113737814,59058,102438.1841982796,0.906278,68362,118576.30038543108,1.0,0,0.0,0.0,4,6.938141095078031,0.0,835286.2755069918,8793165.861639937,11498.234329818066,1866.3599545759905,16596.03349942665,341587.2350692505,1/2,1,10000 RCF|5 m,40 ul|30 m,E.coli|K.pneumo,10,No beads
9,IDBD-D101132,4828617,4983,10319.725088985108,55771,115500.98092269484,0.9468610000000001,65163,134951.68492344706,1.0,0,0.0,0.0,553,1145.255463417372,0.868065,1130002.648791569,8460126.367446413,10599.308249132206,4769.481613472346,40040.450505807356,354461.7433936052,1/2,2,10000 RCF|5 m,40 ul|30 m,E.coli|K.pneumo,10,No beads
