Accession,Pool group,Pool,Centrifugation,DNAse,Organism spike,Group,Beads
IDBD-D101123,3/4,3,4000 RCF|20 m,40 ul|30 m,E.coli,7,No beads
IDBD-D101124,3/4,4,4000 RCF|20 m,40 ul|30 m,E.coli,7,No beads
IDBD-D101125,1/2,1,4000 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,7,No beads
IDBD-D101126,1/2,2,4000 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,7,No beads
IDBD-D101127,1/2,1,1500 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,8,No beads
IDBD-D101128,1/2,2,1500 RCF|20 m,40 ul|30 m,E.coli|K.pneumo,8,No beads
IDBD-D101129,1/2,1,8000 RCF|10 m,40 ul|30 m,E.coli|K.pneumo,9,No beads
IDBD-D101130,1/2,2,8000 RCF|10 m,40 ul|30 m,E.coli|K.pneumo,9,No beads
IDBD-D101131,1/2,1,10000 RCF|5 m,40 ul|30 m,E.coli|K.pneumo,10,No beads
IDBD-D101132,1/2,2,10000 RCF|5 m,40 ul|30 m,E.coli|K.pneumo,10,No beads
IDBD-D101134,3/4,3,4000 RCF|20 m,40 ul|50 m,E.coli,11,No beads
IDBD-D101135,3/4,4,4000 RCF|20 m,40 ul|50 m,E.coli,11,No beads
IDBD-D101136,1/2,1,4000 RCF|20 m,40 ul|50 m,E.coli|K.pneumo,11,No beads
IDBD-D101137,1/2,2,4000 RCF|20 m,40 ul|50 m,E.coli|K.pneumo,11,No beads
IDBD-D101138,3/4,3,4000 RCF|20 m,20 ul|50 m,E.coli,12,No beads
IDBD-D101140,3/4,4,4000 RCF|20 m,20 ul|50 m,E.coli,12,No beads
IDBD-D101142,1/2,1,4000 RCF|20 m,20 ul|50 m,E.coli|K.pneumo,12,No beads
IDBD-D101145,1/2,2,4000 RCF|20 m,20 ul|50 m,E.coli|K.pneumo,12,No beads
IDBD-D101147,3/4,3,4000 RCF|20 m,40 ul|30 m|beads,E.coli,13,Beads
IDBD-D101148,3/4,4,4000 RCF|20 m,40 ul|30 m|beads,E.coli,13,Beads
IDBD-D101149,1/2,1,4000 RCF|20 m,40 ul|30 m|beads,E.coli|K.pneumo,13,Beads
IDBD-D101150,1/2,2,4000 RCF|20 m,40 ul|30 m|beads,E.coli|K.pneumo,13,Beads
