Accession,DNAse,Pool,Pool replicate,Organism spike
IDBD-D101193,Thermo Dnase I,Pool 1,Pool 1a,E.coli
IDBD-D101194,Thermo Dnase I,Pool 1,Pool 1b,E.coli
IDBD-D101195,Thermo Dnase I,Pool 5,Pool 5a,E.coli
IDBD-D101196,Thermo Dnase I,Pool 5,Pool 5b,E.coli
IDBD-D101197,Thermo Dnase I,Pool 6,Pool 6a,K.pneumo
IDBD-D101198,Thermo Dnase I,Pool 6,Pool 6b,K.pneumo
IDBD-D101199,Thermo Dnase I,Pool 7,Pool 7a,Staepi / Streptoc / Staaur / Strep B
IDBD-D101200,Thermo Dnase I,Pool 7,Pool 7b,Staepi / Streptoc / Staaur / Strep B
IDBD-D101201,Thermo Dnase I,Pool 8,Pool 8a,E.faecalis
IDBD-D101202,Thermo Dnase I,Pool 8,Pool 8b,E.faecalis
IDBD-D101203,Turbo Dnase,Pool 1,Pool 1a,E.coli
IDBD-D101204,Turbo Dnase,Pool 1,Pool 1b,E.coli
IDBD-D101205,Turbo Dnase,Pool 5,Pool 5a,E.coli
IDBD-D101206,Turbo Dnase,Pool 5,Pool 5b,E.coli
IDBD-D101207,Turbo Dnase,Pool 6,Pool 6a,K.pneumo
IDBD-D101208,Turbo Dnase,Pool 6,Pool 6b,K.pneumo
IDBD-D101209,Turbo Dnase,Pool 7,Pool 7a,Staepi / Streptoc / Staaur / Strep B
IDBD-D101210,Turbo Dnase,Pool 7,Pool 7b,Staepi / Streptoc / Staaur / Strep B
IDBD-D101211,Turbo Dnase,Pool 8,Pool 8a,E.faecalis
IDBD-D101212,Turbo Dnase,Pool 8,Pool 8b,E.faecalis
IDBD-D101213,Cyanase,Pool 1,Pool 1a,E.coli
IDBD-D101214,Cyanase,Pool 1,Pool 1b,E.coli
IDBD-D101215,Cyanase,Pool 5,Pool 5a,E.coli
IDBD-D101216,Cyanase,Pool 5,Pool 5b,E.coli
IDBD-D101217,Cyanase,Pool 6,Pool 6a,K.pneumo
IDBD-D101218,Cyanase,Pool 6,Pool 6b,K.pneumo
IDBD-D101219,Cyanase,Pool 7,Pool 7a,Staepi / Streptoc / Staaur / Strep B
IDBD-D101220,Cyanase,Pool 7,Pool 7b,Staepi / Streptoc / Staaur / Strep B
IDBD-D101221,Cyanase,Pool 8,Pool 8a,E.faecalis
IDBD-D101222,Cyanase,Pool 8,Pool 8b,E.faecalis
