accession,lib type,Enterobacteria phage T7,Enterobacteria phage PR772,human,bacteria,virus,parasite,fungus,unclassified
IDBD-D101745,DNA,155221.39633347368,3319.0759314857733,8342919.370260922,382571.21159059874,32919.25221435682,132942.07455034097,5534.416476152626,944573.2026426691
IDBD-D101746,DNA,8560.615903831636,2.7411514261388525,9497475.67365167,72454.11449570215,1984.593632524529,97431.48629067937,833.3100335462111,321257.4648406212
IDBD-D101747,DNA,835.5732297069071,27.622255527501064,7777227.89028348,771625.4063061149,649.123004896275,305329.5070371149,1378.8109217477613,1142926.0669614114
IDBD-D101748,DNA,13516.388111685264,134.34964086916077,8821336.351450518,520733.1012070094,3334.3138142982625,51573.97728880389,11250.764622482598,578120.7538643334
IDBD-D101744,DNA,1.8279687629385915,0.0,8516256.034810375,24630.051111834582,6973.700830610726,246258.46783679823,1129.6846954960495,1204750.2327461226
IDBD-D101750,DNA,22040.13116942752,3824.444354592179,3726507.674513774,1610956.4021069726,5797.188041876764,29946.558218988455,36238.21987438825,4564689.38171998
IDBD-D101751,DNA,24800.363599436012,41601.957296906556,48927.201534803135,9100013.078928594,4623.309887852756,2067.5671548161395,368817.95462786534,409148.5669697271
controlNeg,DNA,5501.352970316026,225.60753506027868,123071.80277967766,3724919.239251392,1399.9236790919856,8524.879594029846,7772.854477162251,6128584.33971327
controlPos,DNA,47081.31850802554,1141.9420355660566,762895.4484093699,5968247.893864645,27260.46746212899,12843.449263107523,17560.757433838735,3162968.7230233187
IDBD-D101757,DNA,323190.06624876003,25648.814691611053,3185256.5100235706,3493867.348718247,77433.98094480895,44053.3315331972,51844.54574377187,2798705.4020960336
IDBD-D101758,DNA,389036.8924455797,23421.87317345495,2879060.8194773616,4224139.522217102,91385.1351898344,28295.358466701142,70207.33198861839,2294453.0670413477
IDBD-D101759,DNA,84648.76583962377,349.3071492694241,465025.62167939893,8904067.448881809,27825.807510802322,5791.5125348870515,4927.5595190273425,507363.97688518156
IDBD-D101760,DNA,83747.48181766915,300.9260465947256,1139396.0532719665,7416680.212287924,26476.753107476092,11314.345452675707,10473.174220068402,1311611.0537956252
IDBD-D101761,DNA,9586.798307044694,106.85921679826887,578459.471733829,3290933.1226680204,2620.595078624213,11861.373064607846,7419.082766279811,6099012.697164796
IDBD-D101762,DNA,11357.066422686865,180.59388936411366,387526.507240416,3444128.95624617,2970.8966588349963,13101.95949457112,7478.113165218228,6133255.906882739
IDBD-D101763,DNA,1587.1633791016861,4408.4062754314655,24465.62642904694,9111479.887589067,274.239892717354,1192.9435333204897,622003.5006722305,234588.23222908354
IDBD-D101764,DNA,1961.7001686207905,5085.7763314010235,40353.667387787245,9102578.613685101,326.4415521655126,1912.8864785773494,545947.5637239842,301833.35067236284
IDBD-D101765,DNA,63.48646194982687,4.378376686194956,4400349.569594625,4622070.564983538,2532.8909129637823,172562.7711446587,882.2429022682837,801534.095623309
IDBD-D101766,DNA,33.09522820965045,3.0086571099682224,4142803.5027989536,4949529.776980283,2169.2417762870887,158814.9742067826,764.1989059319285,745882.201446442
