reporting_name	query_name	uti	total_mr_pub_count	
Aminicella lysinilytica	Aminicella lysinilytica	0	0	
Hymenoscyphus fraxineus mitovirus 1	Hymenoscyphus fraxineus mitovirus 1	0	0	
Koolpinyah virus	Koolpinyah virus	0	0	
Miscanthus streak virus	Miscanthus streak virus	0	0	
Acetobacterium bakii	Acetobacterium bakii	0	0	
Bacteroides phage B124-14	Bacteroides phage B124-14	0	0	
Calcarisporiella thermophila	Calcarisporiella thermophila	0	0	
Desulfovibrio aminophilus	Desulfovibrio aminophilus	0	0	
Imjin River virus 1	Imjin River virus 1	0	0	
Hubei picorna-like virus 37	Hubei picorna-like virus 37	0	0	
Lake Sarah-associated circular virus-51	Lake Sarah-associated circular virus-51	0	0	
Propionibacterium virus PHL082M03	Propionibacterium virus PHL082M03	0	0	
Propionivibrio limicola	Propionivibrio limicola	0	0	
Quatrionicoccus australiensis	Quatrionicoccus australiensis	0	0	
Xanthomendoza poeltii	Xanthomendoza poeltii	0	0	
Mycoplasma pulmonis	Mycoplasma pulmonis	3	3	
Heliobacterium modesticaldum	Heliobacterium modesticaldum	0	0	
Leucobacter luti	Leucobacter luti	0	0	
Mycobacterium phage OBUpride	Mycobacterium phage OBUpride	0	0	
Ruegeria litorea	Ruegeria litorea	0	0	
Vibrio phage Her	Vibrio phage Her	0	0	
Wenling toti-like virus 3	Wenling toti-like virus 3	0	0	
Amycolatopsis methanolica	Amycolatopsis methanolica	0	0	
Barns Ness breadcrumb sponge partiti-like virus 1	Barns Ness breadcrumb sponge partiti-like virus 1	0	0	
Entomoplasma ellychniae	Entomoplasma ellychniae	0	0	
Human papillomavirus 56	Human papillomavirus 56	0	0	
Mycoplasma imitans	Mycoplasma imitans	0	0	
Orthohepevirus C	Orthohepevirus C	0	0	
Pseudoclavibacter bifida	Pseudoclavibacter bifida	0	0	
Corynebacterium appendicis	Corynebacterium appendicis	0	0	
Deinobacterium chartae	Deinobacterium chartae	0	0	
Jeotgalicoccus psychrophilus	Jeotgalicoccus psychrophilus	0	0	
Micromonospora ovatispora	Micromonospora ovatispora	0	0	
dsRNA viruses	dsRNA viruses	5	5	
Helicoma vaccinii	Helicoma vaccinii	0	0	
Mangifera indica latent virus	Mangifera indica latent virus	0	0	
Sphingobacterium mucilaginosum	Sphingobacterium mucilaginosum	0	0	
Cerinomyces albosporus	Cerinomyces albosporus	0	0	
Corynebacterium lactis	Corynebacterium lactis	0	0	
Escherichia phage phiLLS	Escherichia phage phiLLS	0	0	
Halophage eHP-19	Halophage eHP-19	0	0	
Hubei orthoptera virus 1	Hubei orthoptera virus 1	0	0	
Mycoplasma phocicerebrale	Mycoplasma phocicerebrale	0	0	
Porcine enterovirus 3H	Porcine enterovirus 3H	0	0	
Shigella phage Sf19	Shigella phage Sf19	0	0	
Sphingosinicella vermicomposti	Sphingosinicella vermicomposti	0	0	
Tomato leaf curl Pakistan betasatellite	Tomato leaf curl Pakistan betasatellite	0	0	
Pseudomonas phage phi-2	Pseudomonas phage phi-2	0	0	
Tangfeifania diversioriginum	Tangfeifania diversioriginum	0	0	
Wenzhou qinvirus-like virus 2	Wenzhou qinvirus-like virus 2	0	0	
Parageobacillus thermoglucosidasius	Parageobacillus thermoglucosidasius	0	0	
Cohnella thermotolerans	Cohnella thermotolerans	0	0	
Felis domesticus papillomavirus 1	Felis domesticus papillomavirus 1	0	0	
Hydrogenobacter hydrogenophilus	Hydrogenobacter hydrogenophilus	0	0	
Sporobolomyces boekhoutii	Sporobolomyces boekhoutii	0	0	
Beihai picorna-like virus 77	Beihai picorna-like virus 77	0	0	
Beihai sobemo-like virus 19	Beihai sobemo-like virus 19	0	0	
Baker virus	Baker virus	0	0	
Gracilimonas tropica	Gracilimonas tropica	0	0	
Lactobacillus acidifarinae	Lactobacillus acidifarinae	0	0	
Hollyhock leaf crumple virus satellite DNA beta	Hollyhock leaf crumple virus satellite DNA beta	0	0	
Hubei picorna-like virus 46	Hubei picorna-like virus 46	0	0	
Gammapapillomavirus 18	Gammapapillomavirus 18	0	0	
Hepacivirus B	Hepacivirus B	0	0	
Metschnikowia aberdeeniae	Metschnikowia aberdeeniae	0	0	
Beauveria bassiana narnavirus satellite RNA 1	Beauveria bassiana narnavirus satellite RNA 1	0	0	
Escherichia virus ACGM12	Escherichia virus ACGM12	0	0	
Spumavirus	Spumavirus	2	2	
Actinokineospora bangkokensis	Actinokineospora bangkokensis	0	0	
Algoriphagus faecimaris	Algoriphagus faecimaris	0	0	
Archaeorhizomyces finlayi	Archaeorhizomyces finlayi	0	0	
Fukuoka ledantevirus	Fukuoka ledantevirus	0	0	
Haloarcula virus His2	Haloarcula virus His2	0	0	
Macaca mulatta rhadinovirus	Macaca mulatta rhadinovirus	0	0	
Pyrrhula pyrrhula polyomavirus 1	Pyrrhula pyrrhula polyomavirus 1	0	0	
Wickerhamomyces alni	Wickerhamomyces alni	0	0	
Brachybacterium huguangmaarense	Brachybacterium huguangmaarense	0	0	
Escherichia virus JenP2	Escherichia virus JenP2	0	0	
Geodermatophilus africanus	Geodermatophilus africanus	0	0	
Musca domestica salivary gland hypertrophy virus	Musca domestica salivary gland hypertrophy virus	0	0	
Fumiglobus pieridicola	Fumiglobus pieridicola	0	0	
Lachnoanaerobaculum orale	Lachnoanaerobaculum orale	0	0	
Lancisporomyces falcatus	Lancisporomyces falcatus	0	0	
Leucostoma persoonii mitovirus 1	Leucostoma persoonii mitovirus 1	0	0	
Mycobacterium phage SirHarley	Mycobacterium phage SirHarley	0	0	
Nocardia caishijiensis	Nocardia caishijiensis	0	0	
Piedraia hortae	Piedraia hortae	0	0	
Staphylococcus epidermidis	Staphylococcus epidermidis	381	381	
Balneola vulgaris	Balneola vulgaris	0	0	
Caledonia beadlet anemone dicistro-like virus 3	Caledonia beadlet anemone dicistro-like virus 3	0	0	
Catenulispora subtropica	Catenulispora subtropica	0	0	
