reporting_name	reporting_id	taxids	compound_id	class_type	subclass	nucleic_acid	RNA	DNA	seqids_in_rna_db	seqids_in_dna_db	semantic_group	core
AKT8 retrovirus	20703	12438	20703_12438	viral	viral	retro	virus	.	1	0	.	.
ANAJ Hantavirus	20907	1244521	20907_1244521	viral	viral	RNA	virus	.	1	0	.	.
ANMV-1 virus	20940	1605378	20940_1605378	viral	viral	unclear	virus	.	1	0	.	.
APSE phage Eptesicus fuscus/P5/IT/USA/2009	21043	931927	21043_931927	viral	phage	unclear	virus	.	1	0	.	.
Abaca bunchy top virus	20322	438782	20322_438782	viral	plant_virus	DNA	virus	.	12	0	.	.
Abalone herpesvirus	20323	1821058,1241371	20323_1821058	viral	viral	DNA	virus	.	3	0	.	.
Abalone shriveling syndrome-associated virus	20324	491893	20324_491893	viral	viral	DNA	virus	.	2	0	.	.
Abbey lake orthobunyavirus	20325	1501396	20325_1501396	viral	viral	RNA	virus	.	3	0	.	.
Abelson murine leukemia virus	20326	11788	20326_11788	viral	viral	retro	virus	.	2	0	.	.
Abiotrophia defectiva	2228	46125	2228_46125	bacterial	bacterial	.	16s	bg	7	1	.	bg
Abisko virus	20327	2025595	20327_2025595	viral	viral	RNA	virus	.	1	0	.	.
Abortiporus biennis	15755	137743	15755_137743	fungal	fungal	.	18s	.	1	0	.	.
Abrothallus cladoniae	17838	1491766	17838_1491766	fungal	fungal	.	18s	.	1	0	.	.
Abrothallus parmeliarum	16585	1491768	16585_1491768	fungal	fungal	.	18s	.	2	0	.	.
Abrothallus parmotrematis	16376	1491769	16376_1491769	fungal	fungal	.	18s	.	1	0	.	.
Abrothallus usneae	15801	1491772	15801_1491772	fungal	fungal	.	18s	.	1	0	.	.
Absidia caerulea	16923	90261	16923_90261	fungal	fungal	.	18s	.	2	0	.	.
Absidia glauca	19160	4829	19160_4829	fungal	fungal	.	18s	.	3	0	.	.
Absidia psychrophilia	18755	327743	18755_327743	fungal	fungal	.	18s	.	1	0	.	.
Absidia repens	15762	90262	15762_90262	fungal	fungal	.	18s	.	2	0	.	.
Absiella dolichum	3013	31971	3013_31971	bacterial	bacterial	.	16s	bg	2	1	.	bg
Absiella tortuosum	9996	39494	9996_39494	bacterial	bacterial	.	16s	.	1	0	.	.
Abutilon Brazil virus	20330	665102	20330_665102	viral	plant_virus	DNA	virus	.	2	0	.	.
Abutilon golden mosaic Yucatan virus	20333	1312723	20333_1312723	viral	plant_virus	DNA	virus	.	1	0	.	.
Abutilon mosaic Bolivia virus	20334	932071	20334_932071	viral	plant_virus	DNA	virus	.	2	0	.	.
Abutilon mosaic Brazil virus	20335	1046572	20335_1046572	viral	plant_virus	DNA	virus	.	4	0	.	.
Abutilon mosaic virus	20336	1313346,10815,222059	20336_10815	viral	plant_virus	DNA	virus	.	11	0	.	.
Abutilon yellow mosaic virus	20337	515303	20337_515303	viral	plant_virus	RNA	virus	.	1	0	.	.
Abutilon yellows virus	20338	169102	20338_169102	viral	plant_virus	RNA	virus	.	1	0	.	.
Abyssicoccus albus	14370	1817405	14370_1817405	bacterial	bacterial	.	16s	.	3	0	.	.
Acalypha yellow mosaic Siliguri virus	20340	1148153	20340_1148153	viral	plant_virus	DNA	virus	.	1	0	.	.
Acalypha yellow mosaic virus	20341	1143700	20341_1143700	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthamoeba astronyxis	19736	65658	19736_65658	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba castellanii	19668	5755	19668_5755	parasite	parasite	.	18s	pg	16	3	.	.
Acanthamoeba castellanii mamavirus	20342	554168	20342_554168	viral	protist_virus	DNA	virus	.	2	0	.	.
Acanthamoeba castellanii mimivirus	20343	1899318	20343_1899318	viral	protist_virus	DNA	virus	.	2	0	.	.
Acanthamoeba comandoni	19719	65659	19719_65659	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba culbertsoni	19664	43142	19664_43142	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba divionensis	19735	202919	19735_202919	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba griffini	20252	29195	20252_29195	parasite	parasite	.	18s	.	3	0	.	.
Acanthamoeba hatchetti	19998	65660	19998_65660	parasite	parasite	.	18s	.	7	0	.	.
Acanthamoeba healyi	19648	65661	19648_65661	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba jacobsi	20019	238784	20019_238784	parasite	parasite	.	18s	.	8	0	.	.
Acanthamoeba lenticulata	19691	29196	19691_29196	parasite	parasite	.	18s	pg	12	3	.	.
Acanthamoeba lugdunensis	19713	61605	19713_61605	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba mauritaniensis	19675	196912	19675_196912	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba micheli	19834	1675013	19834_1675013	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba palestinensis	19671	28015	19671_28015	parasite	parasite	.	18s	pg	4	1	.	.
Acanthamoeba pearcei	19756	65662	19756_65662	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba polyphaga	19724	5757	19724_5757	parasite	parasite	.	18s	pg	14	1	.	.
Acanthamoeba polyphaga lentillevirus	20344	1077221	20344_1077221	viral	protist_virus	DNA	virus	.	8	0	.	.
Acanthamoeba polyphaga mimivirus	20345	212035,1835008	20345_1835008	viral	protist_virus	DNA	virus	.	10	0	.	.
Acanthamoeba polyphaga moumouvirus	20346	1269028	20346_1269028	viral	protist_virus	DNA	virus	.	2	0	.	.
Acanthamoeba pustulosa	19927	65663	19927_65663	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba pyriformis	20006	1899168	20006_1899168	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba quina	19695	211522	19695_211522	parasite	parasite	.	.	pg	0	1	.	.
Acanthamoeba rhysodes	19698	32599	19698_32599	parasite	parasite	.	18s	pg	3	1	.	.
Acanthamoeba royreba	19655	32600	19655_32600	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba stevensoni	19942	65664	19942_65664	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba triangularis	19809	146752	19809_146752	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba tubiashi	20008	65665	20008_65665	parasite	parasite	.	18s	.	1	0	.	.
