name	taxid
Abiotrophia defectiva	46125
Absiella dolichum	31971
Absiella tortuosum	39494
Abyssicoccus albus	1817405
Acanthopleuribacter pedis	442870
Acaricomes phytoseiuli	291968
Acetanaerobacterium elongatum	258515
Acetatifactor muris	879566
Acetivibrio ethanolgignens	290052
Acetoanaerobium noterae	745369
Acetoanaerobium pronyense	1482736
Acetoanaerobium sticklandii	1511
Acetobacter aceti	435
Acetobacter ascendens	481146
Acetobacter cerevisiae	178900
Acetobacter cibinongensis	146475
Acetobacter estunensis	104097
Acetobacter fabarum	483199
Acetobacter farinalis	1260984
Acetobacter ghanensis	431306
Acetobacter indonesiensis	104101
Acetobacter lambici	1332824
Acetobacter lovaniensis	104100
Acetobacter malorum	178901
Acetobacter musti	864732
Acetobacter nitrogenifigens	285268
Acetobacter oeni	304077
Acetobacter okinawensis	1076594
Acetobacter orientalis	146474
Acetobacter orleanensis	104099
Acetobacter papayae	1076592
Acetobacter pasteurianus	438
Acetobacter peroxydans	104098
Acetobacter persici	1076596
Acetobacter pomorum	65959
Acetobacter senegalensis	446692
Acetobacter sicerae	85325
Acetobacter suratthaniensis	1502841
Acetobacter syzygii	146476
Acetobacter thailandicus	1502842
Acetobacter tropicalis	104102
Acetobacterium bakii	52689
Acetobacterium carbinolicum	346376
Acetobacterium carbinolicum	52690
Acetobacterium fimetarium	52691
Acetobacterium malicum	52692
Acetobacterium paludosum	52693
Acetobacterium submarinus	258721
Acetobacterium tundrae	132932
Acetobacterium wieringae	52694
Acetobacterium woodii	33952
Acetobacteroides hydrogenigenes	979970
Acetohalobium arabaticum	28187
Acetonema longum	1009370
Acholeplasma brassicae	61635
Acholeplasma granularum	264635
Acholeplasma hippikon	264636
Acholeplasma laidlawii	2148
Acholeplasma morum	264637
Acholeplasma multilocale	264638
Acholeplasma oculi	35623
Acholeplasma palmae	1318466
Acholeplasma pleciae	228419
Acholeplasma vituli	69473
Achromatium minus	81840
Achromatium oxaliferum	44938
Achromobacter aegrifaciens	1287736
Achromobacter agilis	1353888
Achromobacter aloeverae	1750518
Achromobacter animicus	1389935
Achromobacter anxifer	1287737
Achromobacter cholinophagum	1114982
Achromobacter deleyi	1353891
Achromobacter denitrificans	32002
Achromobacter dolens	1287738
Achromobacter insolitus	217204
Achromobacter insuavis	1287735
Achromobacter kerstersii	1353890
Achromobacter marplatensis	470868
Achromobacter mucicolens	1389922
Achromobacter pestifer	1353889
Achromobacter piechaudii	72556
Achromobacter pulmonis	1389932
Achromobacter ruhlandii	72557
Achromobacter spanius	217203
Achromobacter xylosoxidans	85698
Acidaminobacter hydrogenoformans	65403
Acidaminococcus fermentans	905
Acidaminococcus intestini	187327
Acidaminococcus massiliensis	1852375
Acidaminococcus timonensis	1871002
Acidicaldus organivorans	209650
Acidiferrobacter thiooxydans	163359
Acidihalobacter ferrooxidans	1765967
Acidihalobacter prosperus	160660
Acidimicrobium ferrooxidans	53635
Acidiphilium acidophilum	76588
Acidiphilium angustum	523
Acidiphilium cryptum	524
Acidiphilium iwatense	768198
Acidiphilium multivorum	62140
Acidiphilium organovorum	33999
Acidiphilium rubrum	526
Acidiphilium symbioticum	94005
Acidipropionibacterium acidipropionici	1748
Acidipropionibacterium damnosum	1243001
Acidipropionibacterium jensenii	1749
Acidipropionibacterium microaerophilum	118367
Acidipropionibacterium olivae	1243000
Acidipropionibacterium thoenii	1751
Acidisoma sibiricum	512383
Acidisoma tundrae	512382
Acidisphaera rubrifaciens	50715
Aciditerrimonas ferrireducens	1294026
Acidithiobacillus albertensis	119978
Acidithiobacillus caldus	33059
Acidithiobacillus cuprithermicus	100486
Acidithiobacillus ferridurans	1232575
Acidithiobacillus ferriphilus	1689834
Acidithiobacillus ferrivorans	160808
Acidithiobacillus ferrooxidans	920
Acidithiobacillus thiooxidans	930
Acidithrix ferrooxidans	1280514
Acidobacterium capsulatum	33075
Acidocella aluminiidurans	472056
Acidocella aminolytica	33998
Acidocella aromatica	1303579
Acidocella facilis	525
Acidomonas methanolica	437
Acidothermus cellulolyticus	28049
Acidovorax anthurii	78229
Acidovorax avenae	80867
Acidovorax caeni	343013
Acidovorax cattleyae	80868
Acidovorax citrulli	80869
Acidovorax defluvii	86669
Acidovorax delafieldii	47920
Acidovorax ebreus	721785
Acidovorax facilis	12917
Acidovorax konjaci	32040
Acidovorax lacteus	1924988
Acidovorax oryzae	1408420
Acidovorax oryzae	862720
Acidovorax radicis	758826
Acidovorax radicis	999386
Acidovorax soli	592050
Acidovorax temperans	80878
Acidovorax valerianellae	187868
Acidovorax wautersii	1177982
Acidovorax wohlfahrtii	121873
Acinetobacter albensis	1673609
Acinetobacter antiviralis	363192
Acinetobacter apis	1229165
Acinetobacter baumannii	470
Acinetobacter baylyi	202950
Acinetobacter beijerinckii	262668
Acinetobacter bereziniae	106648
Acinetobacter bohemicus	1435036
Acinetobacter boissieri	1219383
Acinetobacter bouvetii	202951
Acinetobacter brisouii	396323
Acinetobacter calcoaceticus	471
Acinetobacter celticus	1891224
Acinetobacter courvalinii	280147
Acinetobacter defluvii	1871111
Acinetobacter dispersus	70348
Acinetobacter equi	1324350
Acinetobacter gandensis	1443941
Acinetobacter gerneri	202952
Acinetobacter guillouiae	106649
Acinetobacter gyllenbergii	134534
Acinetobacter haemolyticus	29430
Acinetobacter halotolerans	1752076
Acinetobacter harbinensis	1353941
Acinetobacter idrijaensis	1507807
Acinetobacter indicus	756892
Acinetobacter johnsonii	40214
Acinetobacter junii	40215
Acinetobacter kookii	1226327
Acinetobacter kyonggiensis	595670
Acinetobacter lactucae	1785128
Acinetobacter larvae	1789224
Acinetobacter lwoffii	28090
Acinetobacter marinus	281375
Acinetobacter modestus	1776740
Acinetobacter movanagherensis	1397514
Acinetobacter nectaris	1219382
Acinetobacter nosocomialis	106654
Acinetobacter oleivorans	1148157
Acinetobacter oryzae	742719
Acinetobacter parvus	134533
Acinetobacter pittii	48296
Acinetobacter plantarum	1591090
Acinetobacter populi	1582270
Acinetobacter pragensis	1806892
Acinetobacter proteolyticus	1776741
Acinetobacter psychrotolerans	320323
Acinetobacter puyangensis	1096779
Acinetobacter qingfengensis	1262585
Acinetobacter radioresistens	40216
Acinetobacter refrigeratoris	1433544
Acinetobacter rhizosphaerae	243922
Acinetobacter rudis	421052
Acinetobacter schindleri	108981
Acinetobacter seifertii	1530123
Acinetobacter seohaensis	281376
