name	taxid
Acinetobacter baumannii	470
Acinetobacter calcoaceticus	471
Actinobaculum schaalii	59505
Aerococcus sanguinicola	119206
Aerococcus urinae	1376
Aerococcus viridans	1377
Aeromonas hydrophila	644
Bacteroides fragilis	817
Burkholderia cepacia	292
Campylobacter jejuni	197
Chlamydia trachomatis	813
Chromobacterium violaceum	536
Chryseobacterium indologenes	253
Citrobacter freundii	546
Citrobacter koseri	545
Corynebacterium genitalium	38288
Corynebacterium glucuronolyticum	39791
Corynebacterium jeikeium	38289
Corynebacterium renale	1724
Corynebacterium riegelii	156976
Corynebacterium urealyticum	43771
Enterobacter aerogenes	548
Enterobacter cloacae	550
Enterococcus faecalis	1351
Enterococcus faecium	1352
Enterococcus gallinarum	1353
Escherichia coli	562
Fusobacterium necrophorum	859
Fusobacterium nucleatum	851
Gardnerella vaginalis	2702
Haemophilus ducreyi	730
Haemophilus influenzae	727
Haemophilus parainfluenzae	729
Hafnia alvei	569
Klebsiella oxytoca	571
Klebsiella pneumoniae	573
Kluyvera ascorbata	51288
Listeria monocytogenes	1639
Moraxella catarrhalis	480
Morganella morganii	582
Mycobacterium avium	1764
Mycobacterium chelonae	1774
Mycobacterium gordonae	1778
Mycobacterium intracellulare	1767
Mycobacterium kansasii	1768
Mycobacterium marinum	1781
Mycobacterium scrofulaceum	1783
Mycobacterium simiae	1784
Mycobacterium szulgai	1787
Mycobacterium tuberculosis	1773
Mycobacterium xenopi	1789
Mycoplasma genitalium	2097
Mycoplasma hominis	2098
Neisseria gonorrhoeae	485
Oligella urethralis	90245
Pasteurella multocida	747
Proteus mirabilis	584
Proteus penneri	102862
Proteus vulgaris	585
Providencia rettgeri	587
Providencia stuartii	588
Pseudomonas aeruginosa	287
Pseudomonas putida	303
Salmonella enterica	28901
Serratia marcescens	615
Shigella flexneri	623
Shigella sonnei	624
Staphylococcus aureus	1280
Staphylococcus epidermidis	1282
Staphylococcus haemolyticus	1283
Staphylococcus hominis	1290
Staphylococcus intermedius	1285
Staphylococcus lugdunensis	28035
Staphylococcus saprophyticus	29385
Staphylococcus simulans	1286
Staphylococcus warneri	1292
Stenotrophomonas maltophilia	40324
Streptococcus agalactiae	1311
Streptococcus anginosus	1328
Streptococcus constellatus	76860
Streptococcus intermedius	1338
Streptococcus pneumoniae	1313
Treponema pallidum	160
Ureaplasma parvum	134821
Ureaplasma urealyticum	2130
Vibrio cholerae	666
Yersinia enterocolitica	630
Yersinia pseudotuberculosis	633
