,genome_coverage,normalized_reads,t4_coverage,t4_normalized_reads,t7_coverage,t7_normalized_reads,16s_coverage,ms2_coverage,ms2_normalized_reads,qbeta_coverage,qbeta_normalized_reads
IDBD-D100022,,,0.9999940801079789,9550717.080745189,0.9981648147217055,3682.1143867710607,,,,,
IDBD-D100023,,,0.9999881602159577,4826546.511998697,0.9998491628538388,79368.51927472533,,,,,
IDBD-D100024,0.0,3.085077173205488,0.9999052817276612,193223.01097361953,0.9999497209512797,157678.29432253249,,,,,
IDBD-D100025,,,0.8849291388925066,4474.6647744029415,0.9999245814269194,161183.74270003877,,,,,
IDBD-D100027,0.06605,1113.4712895710566,,,,,1.0,0.9848697114037546,2236646.9096889133,,
IDBD-D100028,,,,,,,0.6664,0.927991033903054,7632.032397889399,,
IDBD-D100030,,,,,,,0.746006,0.36414319248826293,33.690481995540445,,
IDBD-D100031,,,,,,,0.6088,,,,
IDBD-D100032,0.1044,621.4085605933761,,,,,1.0,0.9574110395068647,561932.8568050279,,
IDBD-D100033,,,,,,,0.4256,0.8509386382740264,1223.2197910689272,,
IDBD-D100034,,,,,,,0.756605,0.5519753432333987,70.2113713333992,,
IDBD-D100035,,,,,,,0.6912,,,,
IDBD-D100036,,,,,,,0.406198,,,0.99312307327484,8333.99187959069
IDBD-D100037,,,,,,,,,,0.7583590230021342,136.99787424965123
IDBD-D100038,,,,,,,0.7632,,,,
IDBD-D100039,,,,,,,0.546901,,,,
IDBD-D100040,0.0,13.128295612457963,,,,,,,,0.992885937870524,17309.657765025826
IDBD-D100041,,,,,,,0.364086,,,0.8712354754564856,273.72239316849397
IDBD-D100042,,,,,,,0.9224,,,0.07398624614654968,5.967204245466914
IDBD-D100043,,,,,,,0.948105,,,,
IDBD-D100051,0.0641,578.8240826994909,,,,,1.0,0.9624544690389465,837927.4480188842,,
IDBD-D100052,0.0,121.78274592065338,,,,,1.0,0.985990473521995,284265.95283070643,,
IDBD-D100053,0.0,18.990077819982474,,,,,1.0,0.9585318016251051,31321.420495801092,,
IDBD-D100054,,,,,,,0.925865,0.8758755954048754,1131.9940428813493,,
IDBD-D100055,,,,,,,0.85173,0.5746707761277668,107.55608377543365,,
IDBD-D100056,0.06405,595.9132850324085,,,,,1.0,0.9641356122163071,799437.813462195,,
IDBD-D100057,0.0,58.73576241353983,0.004817095255342268,10.542316330635353,,,1.0,0.9366769403194172,139491.41155139674,,
IDBD-D100058,,,0.003531329228540384,5.414854326204633,,,1.0,0.9229476043709722,16559.978243115318,,
IDBD-D100059,,,,,,,1.0,0.9083776968338471,2063.2205636190124,,
IDBD-D100060,,,,,,,0.9512,0.7366209022135052,164.174626139196,,
IDBD-D100061,0.0,40.29555237840623,0.0008994325727393457,4.649486812893027,,,0.958814,,,0.9997628645956841,63877.749493399664
IDBD-D100062,,,,,,,0.803954,,,0.9933602086791558,5593.689177097842
IDBD-D100063,,,,,,,0.674204,,,0.9805548968460991,376.9855772800289
IDBD-D100064,0.0,74.66399407857094,,,,,0.967974,,,0.9990514583827366,64707.83763740149
IDBD-D100065,,,,,,,0.831865,,,0.99312307327484,7683.368241996466
IDBD-D100066,,,,,,,0.925865,,,0.9898031776144178,457.81098221285004
IDBD-D100207,0.0,5.237012797426322,,,1.0,2840381.610648523,,,,,
IDBD-D100268,,,0.9959211943974142,8154.895189316319,1.0,5977066.385329898,,,,,
IDBD-D100269,,,0.9992363339292691,29852.40301897346,0.9999497209512797,2030695.7319626715,,,,,
IDBD-D100270,0.0,1.2197902180387212,0.9996388865867086,63077.79175521835,0.9998240233294786,298902.2741890804,0.5728,,,,
IDBD-D100271,,,0.9994849693941582,49407.77494279907,0.9997988838051184,181820.85259746911,0.407221,,,,
