,genome_coverage,normalized_reads,ms2_coverage,ms2_normalized_reads,qbeta_coverage,qbeta_normalized_reads,16s_coverage,t4_coverage,t4_normalized_reads,t7_coverage,t7_normalized_readsgenome_coverage,t7_normalized_reads
IDBD-D100022,,,,,,,,0.9999940801079789,9550717.080745189,0.9981648147217055,,3682.1143867710607
IDBD-D100023,,,,,,,,0.9999881602159577,4826546.511998697,0.9998491628538388,,79368.51927472533
IDBD-D100024,0.0,3.085077173205488,,,,,,0.9999052817276612,193223.01097361953,0.9999497209512797,,157678.29432253249
IDBD-D100025,,,,,,,,0.8849291388925066,4474.6647744029415,0.9999245814269194,,161183.74270003877
IDBD-D100027,0.06605,5318.966698643278,0.9848697114037546,2236646.9096889133,,,1.0,,,,,
IDBD-D100028,,45.82744626908185,0.927991033903054,7632.032397889399,,,0.6664,,,,,
IDBD-D100030,,46.10276483600271,0.36414319248826293,33.690481995540445,,,0.746006,,,,,
IDBD-D100031,,52.701875853001816,,,,,0.6088,,,,,
IDBD-D100032,0.1044,1201.3898838138605,0.9574110395068647,561932.8568050279,,,1.0,,,,,
IDBD-D100033,,24.236289566633758,0.8509386382740264,1223.2197910689272,,,0.4256,,,,,
IDBD-D100034,,56.837776793704116,0.5519753432333987,70.2113713333992,,,0.756605,,,,,
IDBD-D100035,,50.34197114547375,,,,,0.6912,,,,,
IDBD-D100036,,14.950779896754186,,,0.99312307327484,8333.99187959069,0.406198,,,,,
IDBD-D100037,,,,,0.7583590230021342,136.99787424965123,,,,,,
IDBD-D100038,,36.101749169860334,,,,,0.7632,,,,,
IDBD-D100039,,35.226844734452705,,,,,0.546901,,,,,
IDBD-D100040,0.0,13.128295612457963,,,0.992885937870524,17309.657765025826,,,,,,
IDBD-D100041,,10.585948907068829,,,0.8712354754564856,273.72239316849397,0.364086,,,,,
IDBD-D100042,,184.98333160947433,,,0.07398624614654968,5.967204245466914,0.9224,,,,,
IDBD-D100043,,74.05203907708041,,,,,0.948105,,,,,
IDBD-D100051,0.0641,1882.987094031781,0.9624544690389465,837927.4480188842,,,1.0,,,,,
IDBD-D100052,0.0,1061.0113206237745,0.985990473521995,284265.95283070643,,,1.0,,,,,
IDBD-D100053,0.0,439.4846581195943,0.9585318016251051,31321.420495801092,,,1.0,,,,,
IDBD-D100054,,52.219963287681296,0.8758755954048754,1131.9940428813493,,,0.925865,,,,,
IDBD-D100055,,67.86276714402362,0.5746707761277668,107.55608377543365,,,0.85173,,,,,
IDBD-D100056,0.06405,1659.944931500532,0.9641356122163071,799437.813462195,,,1.0,,,,,
IDBD-D100057,0.0,493.98282234977086,0.9366769403194172,139491.41155139674,,,1.0,0.004817095255342268,10.542316330635353,,,
IDBD-D100058,,121.83422233960424,0.9229476043709722,16559.978243115318,,,1.0,0.003531329228540384,5.414854326204633,,,
IDBD-D100059,,193.95397668898076,0.9083776968338471,2063.2205636190124,,,1.0,,,,,
IDBD-D100060,,100.06834355150994,0.7366209022135052,164.174626139196,,,0.9512,,,,,
IDBD-D100061,0.0,230.92451170702034,,,0.9997628645956841,63877.749493399664,0.958814,0.0008994325727393457,4.649486812893027,,,
IDBD-D100062,,172.9561198793458,,,0.9933602086791558,5593.689177097842,0.803954,,,,,
IDBD-D100063,,48.92179247145414,,,0.9805548968460991,376.9855772800289,0.674204,,,,,
IDBD-D100064,0.0,160.81475647692199,,,0.9990514583827366,64707.83763740149,0.967974,,,,,
IDBD-D100065,,93.17802440592136,,,0.99312307327484,7683.368241996466,0.831865,,,,,
IDBD-D100066,,91.12825238360047,,,0.9898031776144178,457.81098221285004,0.925865,,,,,
IDBD-D100207,0.0,5.237012797426322,,,,,,,,1.0,,2840381.610648523
IDBD-D100268,,,,,,,,0.9959211943974142,8154.895189316319,1.0,,5977066.385329898
